packaging,base_name,ecommerce_category,mrp
100g,Black Manuka,Food & Grocery,90
250g,Black Manuka,Food & Grocery,220
standard,Wal 500 g,Food & Grocery,100
standard,Black Til P,Food & Grocery,360
250g,Black Till Chikki,Indian Sweets,150
250g,Black Urad Dal,Dals & Pulses,38
250g,Black Urad Whole,Food & Grocery,40
250g,Black Vatana,Food & Grocery,40
standard,Black Vatana 500 g,Food & Grocery,80
100g,Blue Bird Corn Flour,Flours & Semolina,30
100g,Blue Bird Custard Powder (Vanilla),Baking & Dessert,45
100g,Blueberry,Food & Grocery,220
250g,Boondi Laddu,Indian Sweets,70
46.5g,Bournvita Biscuits,Biscuits & Cookies,55
standard,Britania 50 50 Sweet & Salty,"Salt, Sugar & Jaggery",35
150g,Britania Bornbon,Biscuits & Cookies,40
standard,Britania Milk bikis,Milk & Dairy,25
248g,Britania Vita Marie Gold,Biscuits & Cookies,45
standard,Britannia 1 kg [5*200] Plpch Nutri Choice Digestive Hi Fibre+41R Off,Biscuits & Cookies,199
standard,Bhel Kurmure,Snacks & Namkeen,40
50g,Bourbon,Biscuits & Cookies,10
standard,Black Til 250g ,Food & Grocery,120
standard,Boil Rice (Jada) kg,"Rice, Poha & Puffed Rice",58
standard,Boil Rice (Barik) 1kg ,"Rice, Poha & Puffed Rice",60
standard,Black Til 100g ,Food & Grocery,48
standard,Black Til 50g ,Food & Grocery,24
250g,Brooke Bond Taaza,Tea & Beverages,50
standard,Brooke Bond Taj Mahal Tea 500 g,Tea & Beverages,255
500g,Browntop Millet (Sama),Ready to Cook & Instant Mixes,200
100g,Bru Gold,Coffee,300
25g,Bru Gold,Coffee,87
50g,Bru Gold,Coffee,160
200g,Bru Green Label,Coffee,70
500g,Bru Green Label,Coffee,185
8g,Bru Instant,Coffee,10
100g,Bru Instant Coffee,Tea & Beverages,190
50g,Bru Instant Coffee,Coffee,90
200g,Bru instant,Coffee,400
standard,Butter Cookies,Biscuits & Cookies,140
50g,CDM Chocolate,Chocolates & Confectionery,40
36g,CDM Chocolate Crackle,Chocolates & Confectionery,45
80g,CDM Chocolate Fruit & Nut,Chocolates & Confectionery,90
35g,CDM Crispello,Chocolates & Confectionery,30
120g,CDM Silk Bubbly,Chocolates & Confectionery,175
50g,CDM Silk Bubbly,Chocolates & Confectionery,80
150g,CDM Silk Chocolate,Chocolates & Confectionery,170
60g,CDM Silk Chocolate,Chocolates & Confectionery,75
55g,CDM Silk Fruit & Nut,Chocolates & Confectionery,80
143g,CDM Silk Roast Almond,Dry Fruits & Nuts,185
250g,CDM silk heart blush,Chocolates & Confectionery,325
42g,Cadbury 5star Oreo,Biscuits & Cookies,35
